scheme_name,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Alpha,Beta,Max_Drawdown,expense_ratio_pct,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,FundScore
Mirae Asset Large Cap Fund - Regular - Growth,20.36,34.0,26.8,1.4482911703262595,0.2698375144191807,0.023683558075848626,-0.11265729075028275,1.46,2.0,1.0,7.0,23.0,8.0,81.57335223245926
ICICI Pru Midcap Fund - Regular - Growth,29.6,31.78,28.38,1.1801011976606492,0.2926358334175106,0.000549004250631702,-0.18188513572116294,1.36,5.0,5.0,3.0,15.0,25.0,77.03756201275692
Kotak Flexicap Fund - Regular - Growth,26.66,29.58,26.74,1.3067439695428409,0.27330465038306057,-0.02282956979242657,-0.1297396816518679,1.45,7.0,2.0,5.0,22.0,13.0,76.75407512402552
HDFC Mid-Cap Opportunities Fund - Regular - Growth,53.23,32.44,26.07,1.0936987435346315,0.2719535450128533,0.005103525830528331,-0.16217208574644848,1.38,4.0,7.0,6.0,17.0,20.0,75.33664068036853
ICICI Pru Bluechip Fund - Direct - Growth,13.06,32.49,20.23,1.0265242847992997,0.2119482701352573,0.01623216976141699,-0.12588275606922517,0.8,3.0,10.0,13.0,12.0,12.0,74.48618001417435
Axis Midcap Fund - Regular - Growth,22.26,35.11,24.45,0.9982309868636414,0.2607666908004223,-0.06626542862803761,-0.20960883862039192,1.38,1.0,11.0,9.0,17.0,28.0,71.0843373493976
SBI Bluechip Fund - Regular Plan - Growth,60.44,30.46,22.38,1.2082665673727175,0.23201007160635082,-0.03175144113890974,-0.1501238549864533,1.54,6.0,4.0,10.0,30.5,17.0,68.60382707299789
Mirae Asset Tax Saver Fund - Regular - Growth,39.75,29.18,27.63,1.2349300257743294,0.2827036785246582,0.01813388408385922,-0.1639674294693263,1.6,8.0,3.0,4.0,36.5,21.0,67.32813607370659
ABSL Frontline Equity Fund - Regular - Growth,47.92,28.97,20.44,1.0272133278753697,0.21399784776051212,0.021086316250128,-0.11291596329323073,1.6,9.0,9.0,12.0,36.5,9.0,61.091424521615885
SBI Small Cap Fund - Regular Plan - Growth,82.78,26.67,28.03,0.9453082575156093,0.3033696538698332,-0.0231960620440597,-0.2870600572176455,1.43,12.0,14.0,1.0,21.0,36.0,60.170092133238846
