scheme_name,Max_Drawdown
ABSL Frontline Equity Fund - Regular - Growth,-0.11291596329323073
ABSL Liquid Fund - Regular - Growth,-0.0016224980244717857
ABSL Small Cap Fund - Regular - Growth,-0.3544691649336603
Axis Bluechip Fund - Direct - Growth,-0.21751396370148224
Axis Bluechip Fund - Regular - Growth,-0.1440161790933726
Axis Midcap Fund - Regular - Growth,-0.20960883862039192
Axis Small Cap Fund - Regular - Growth,-0.5167775370852656
DSP Midcap Fund - Regular - Growth,-0.17248105753451382
DSP Small Cap Fund - Regular - Growth,-0.31171900300634214
DSP Top 100 Equity Fund - Regular - Growth,-0.14844576917771746
HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.21117279560132118
HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.16217208574644848
HDFC Short Term Debt Fund - Regular - Growth,-0.04308263824636349
HDFC Top 100 Fund - Direct Plan - Growth,-0.15200013055606398
HDFC Top 100 Fund - Regular Plan - Growth,-0.24734440880673303
ICICI Pru Bluechip Fund - Direct - Growth,-0.12588275606922517
ICICI Pru Bluechip Fund - Regular - Growth,-0.13897862823061635
ICICI Pru Liquid Fund - Regular - Growth,-0.0009773140045925555
ICICI Pru Midcap Fund - Regular - Growth,-0.18188513572116294
ICICI Pru Value Discovery Fund - Regular - Growth,-0.1982565826298267
Kotak Bluechip Fund - Regular - Growth,-0.1757361416468729
Kotak Emerging Equity Fund - Regular - Growth,-0.24003511326274884
Kotak Flexicap Fund - Regular - Growth,-0.1297396816518679
Kotak Liquid Fund - Regular - Growth,-0.0011629327956168556
Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1527259422823477
Mirae Asset Large Cap Fund - Regular - Growth,-0.11265729075028275
Mirae Asset Tax Saver Fund - Regular - Growth,-0.1639674294693263
Nippon India ETF Nifty 50 BeES,-0.1165062450540909
Nippon India Gilt Securities Fund - Regular - Growth,-0.08316361763638702
Nippon India Large Cap Fund - Direct - Growth,-0.18629743138595511
Nippon India Large Cap Fund - Regular - Growth,-0.17414075086657232
Nippon India Small Cap Fund - Regular - Growth,-0.2334488614483311
SBI Bluechip Fund - Direct Plan - Growth,-0.11803493502764295
SBI Bluechip Fund - Regular Plan - Growth,-0.1501238549864533
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.04328728923970093
SBI Small Cap Fund - Direct Plan - Growth,-0.5257422117012851
SBI Small Cap Fund - Regular Plan - Growth,-0.2870600572176455
UTI Flexi Cap Fund - Regular - Growth,-0.21539827112383225
UTI Mid Cap Fund - Regular - Growth,-0.2800112356639287
UTI Nifty 50 Index Fund - Regular - Growth,-0.1085986215250232
