scheme_name,Sharpe_Ratio
Mirae Asset Large Cap Fund - Regular - Growth,1.4482911703262595
Kotak Flexicap Fund - Regular - Growth,1.3067439695428409
Mirae Asset Tax Saver Fund - Regular - Growth,1.2349300257743294
SBI Bluechip Fund - Regular Plan - Growth,1.2082665673727175
ICICI Pru Midcap Fund - Regular - Growth,1.1801011976606492
DSP Midcap Fund - Regular - Growth,1.132121852474724
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.0936987435346315
Nippon India Large Cap Fund - Regular - Growth,1.0816591793457035
ABSL Frontline Equity Fund - Regular - Growth,1.0272133278753697
ICICI Pru Bluechip Fund - Direct - Growth,1.0265242847992997
Axis Midcap Fund - Regular - Growth,0.9982309868636414
SBI Bluechip Fund - Direct Plan - Growth,0.9532794968660094
DSP Small Cap Fund - Regular - Growth,0.9497958246616028
SBI Small Cap Fund - Regular Plan - Growth,0.9453082575156093
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.9262873467360144
UTI Nifty 50 Index Fund - Regular - Growth,0.8170993373494365
ICICI Pru Bluechip Fund - Regular - Growth,0.7979728586052853
HDFC Top 100 Fund - Direct Plan - Growth,0.775790249821121
Nippon India ETF Nifty 50 BeES,0.6648569985490616
ICICI Pru Value Discovery Fund - Regular - Growth,0.6488787755249537
Nippon India Large Cap Fund - Direct - Growth,0.6452074382933211
UTI Flexi Cap Fund - Regular - Growth,0.6195175900829826
ICICI Pru Liquid Fund - Regular - Growth,0.49572339295331247
Kotak Bluechip Fund - Regular - Growth,0.4942725378672353
DSP Top 100 Equity Fund - Regular - Growth,0.46403744922047724
Nippon India Small Cap Fund - Regular - Growth,0.4484340089089914
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.30061192104254764
ABSL Small Cap Fund - Regular - Growth,0.1626607692864677
Axis Bluechip Fund - Direct - Growth,0.1296144979566932
Kotak Emerging Equity Fund - Regular - Growth,0.07599984804658923
Axis Bluechip Fund - Regular - Growth,0.030784850954585923
SBI Small Cap Fund - Direct Plan - Growth,-0.057186625828179925
Axis Small Cap Fund - Regular - Growth,-0.07597357117478916
Kotak Liquid Fund - Regular - Growth,-0.08874729621557284
HDFC Top 100 Fund - Regular Plan - Growth,-0.20151706755966942
UTI Mid Cap Fund - Regular - Growth,-0.2058316078547032
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.22657538662791585
Nippon India Gilt Securities Fund - Regular - Growth,-0.3566295075143679
HDFC Short Term Debt Fund - Regular - Growth,-0.5670947928476845
ABSL Liquid Fund - Regular - Growth,-0.8155673679088261
