scheme_name,Sortino_Ratio
Mirae Asset Large Cap Fund - Regular - Growth,2.385644373368817
Kotak Flexicap Fund - Regular - Growth,2.364320032166718
Mirae Asset Tax Saver Fund - Regular - Growth,2.146913926346055
SBI Bluechip Fund - Regular Plan - Growth,2.140267129061793
ICICI Pru Midcap Fund - Regular - Growth,2.029352940465747
DSP Midcap Fund - Regular - Growth,1.8751010639192083
Nippon India Large Cap Fund - Regular - Growth,1.8501325468557261
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.8291339615146935
ICICI Pru Bluechip Fund - Direct - Growth,1.805293794099255
ABSL Frontline Equity Fund - Regular - Growth,1.799562874698451
Axis Midcap Fund - Regular - Growth,1.703797480246301
SBI Small Cap Fund - Regular Plan - Growth,1.6753165700125519
Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.6327409778735171
DSP Small Cap Fund - Regular - Growth,1.6197931764914106
SBI Bluechip Fund - Direct Plan - Growth,1.6097764896283082
UTI Nifty 50 Index Fund - Regular - Growth,1.4357420130649485
ICICI Pru Bluechip Fund - Regular - Growth,1.3379431500669232
HDFC Top 100 Fund - Direct Plan - Growth,1.3306512447571361
Nippon India Large Cap Fund - Direct - Growth,1.1544757169236242
Nippon India ETF Nifty 50 BeES,1.137976718780742
ICICI Pru Value Discovery Fund - Regular - Growth,1.0958951614736474
UTI Flexi Cap Fund - Regular - Growth,1.0887552508030016
ICICI Pru Liquid Fund - Regular - Growth,1.052123882260929
Kotak Bluechip Fund - Regular - Growth,0.8625738849916583
DSP Top 100 Equity Fund - Regular - Growth,0.7621288703723166
Nippon India Small Cap Fund - Regular - Growth,0.746014630853357
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.5088128197169234
ABSL Small Cap Fund - Regular - Growth,0.27664379626092345
Axis Bluechip Fund - Direct - Growth,0.22108683979276356
Kotak Emerging Equity Fund - Regular - Growth,0.12469346986475677
Axis Bluechip Fund - Regular - Growth,0.052573985593048045
SBI Small Cap Fund - Direct Plan - Growth,-0.09438726129459606
Axis Small Cap Fund - Regular - Growth,-0.1281855927585192
Kotak Liquid Fund - Regular - Growth,-0.1877230477424223
UTI Mid Cap Fund - Regular - Growth,-0.3472223025472726
HDFC Top 100 Fund - Regular Plan - Growth,-0.35104746015230903
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.3767670081706666
Nippon India Gilt Securities Fund - Regular - Growth,-0.6135251287271026
HDFC Short Term Debt Fund - Regular - Growth,-0.9418212366054203
ABSL Liquid Fund - Regular - Growth,-1.6810378667512813
