scheme_name,Tracking_Error
ABSL Liquid Fund - Regular - Growth,0.12895689217736636
ICICI Pru Liquid Fund - Regular - Growth,0.12904357559503346
Kotak Liquid Fund - Regular - Growth,0.12904556781048548
HDFC Short Term Debt Fund - Regular - Growth,0.134535144155856
Nippon India Gilt Securities Fund - Regular - Growth,0.13475826828890314
SBI Magnum Gilt Fund - Regular Plan - Growth,0.1356464526704048
Nippon India ETF Nifty 50 BeES,0.18307639338664927
Kotak Bluechip Fund - Regular - Growth,0.18311878418576338
UTI Nifty 50 Index Fund - Regular - Growth,0.18368034296960942
Axis Bluechip Fund - Direct - Growth,0.1878998377218693
Axis Bluechip Fund - Regular - Growth,0.18908165842556612
Mirae Asset Large Cap Fund - Regular - Growth,0.1896636779215801
HDFC Top 100 Fund - Direct Plan - Growth,0.19107208897596137
SBI Bluechip Fund - Regular Plan - Growth,0.19118256851630833
ICICI Pru Bluechip Fund - Direct - Growth,0.1915870037972258
Nippon India Large Cap Fund - Regular - Growth,0.19211519250390108
SBI Bluechip Fund - Direct Plan - Growth,0.19212721030300678
ABSL Frontline Equity Fund - Regular - Growth,0.1927064051369652
ICICI Pru Bluechip Fund - Regular - Growth,0.19294776031543664
DSP Top 100 Equity Fund - Regular - Growth,0.19326406331048726
Nippon India Large Cap Fund - Direct - Growth,0.19344939246000759
ICICI Pru Value Discovery Fund - Regular - Growth,0.1960048394985746
HDFC Top 100 Fund - Regular Plan - Growth,0.19928360293890285
UTI Flexi Cap Fund - Regular - Growth,0.20221623215661833
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.2032134522514569
Kotak Flexicap Fund - Regular - Growth,0.20642496841144056
Mirae Asset Tax Saver Fund - Regular - Growth,0.2173651888925858
Kotak Emerging Equity Fund - Regular - Growth,0.21916937594238364
DSP Midcap Fund - Regular - Growth,0.21952116319885406
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.22359208242967216
UTI Mid Cap Fund - Regular - Growth,0.22560814215136635
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.22869942052083106
ICICI Pru Midcap Fund - Regular - Growth,0.23196750960046322
Axis Midcap Fund - Regular - Growth,0.23765197701108381
SBI Small Cap Fund - Direct Plan - Growth,0.2771351379626375
Nippon India Small Cap Fund - Regular - Growth,0.2772863739829554
DSP Small Cap Fund - Regular - Growth,0.27917030841826745
SBI Small Cap Fund - Regular Plan - Growth,0.2838814541332667
Axis Small Cap Fund - Regular - Growth,0.28578133369850933
ABSL Small Cap Fund - Regular - Growth,0.29211742519291634
